store_item,LightGBM_full,XGBoost_full,LightGBM_no_weather,XGBoost_no_weather,LightGBM_no_calendar,XGBoost_no_calendar,LightGBM_no_promotion,XGBoost_no_promotion
3_11,0.7516008121090838,0.7831676098721809,0.7592395614955231,0.7908521177635394,0.7695163164735039,0.7667836227173666,0.7716597815326764,0.8155144594746765
3_12,0.6916691494588627,0.7518358937572197,0.7009607212820366,0.782918077438969,0.7475973334920747,0.7566332512697669,0.715206256697563,0.8199119435582304
3_13,0.7372809550194995,0.8067152445387371,0.7300793577977525,0.8583983479339368,0.836788999037979,0.8307191892266104,0.7769260421694075,0.8368184806245088
3_14,0.7474694619552293,0.7529127980677619,0.7616062735665998,0.7904309093209838,0.8384922144532828,0.842346367518519,0.719689720187028,0.7802643526487351
3_15,0.7611902986972888,0.8916633612826491,0.8714479451438688,0.9448221203978248,0.8700685724081598,0.8952433242731642,0.7390935987458269,0.9181408353181288
3_16,0.6692108891806523,0.7611063406249567,0.7077467257933348,0.8032758825455636,0.7255386625852893,0.7289334158361628,0.6868911471687744,0.8199128770954777
3_17,0.6801266377354231,0.7268424976937704,0.6874589724124816,0.7435571815767431,0.7186202948465261,0.7227239073296909,0.7013144694255875,0.7758836219092664
3_18,0.8337246761831589,0.9224164435935981,0.8638467950907632,0.9659465142851088,0.8854280971520329,0.89780257258729,0.8566012160446885,0.9976979335035375
3_19,0.8181062111562895,0.8856722646042011,0.8263866712256613,0.9398182521108046,0.9251165570656324,0.9754827497773297,0.9432063193225161,0.9837617424597792
3_2,0.4851905113399269,0.5119679767341958,0.48591463028018367,0.5130196604448201,0.5566698382635438,0.5532009267129246,0.4901668989767657,0.5584287342337779
3_20,0.6071770351337987,0.6421549427971787,0.6008781368185231,0.6442236864557173,0.6988359772989777,0.7006832093921352,0.5962398993347887,0.6862162662347134
3_21,0.6719900366682987,0.6910346630129669,0.7026372728600168,0.6867142845861894,0.7751750244342829,0.7614192097399699,0.6743020660922121,0.6963896401483296
3_22,0.6182072518701591,0.6639746977125636,0.6231027906431031,0.6864235723025539,0.6824139376708688,0.6819916483068714,0.6411303745005941,0.7060614912949262
3_23,0.9115332701723738,0.9475230271579823,0.9050254985588003,0.9679059090306965,1.0888874496876668,1.0772704619141142,0.906741704777483,0.9869046596774996
3_24,0.5738094836829382,0.6181612481101145,0.5854872024860396,0.627946190375605,0.6427316436423832,0.6352565565992268,0.5777912488543909,0.6377855082203425
3_25,0.5240892393852716,0.6099477213675105,0.536077953171972,0.6562653644432013,0.5766034409534923,0.5825086151076762,0.5314542713403201,0.6722955201859575
3_26,0.6363718101023126,0.735534146737543,0.6436589309941504,0.7826880999166146,0.6919203251273128,0.7054802449398062,0.6464493117236327,0.7760275052508605
3_27,0.6374810320900081,0.6914342190012386,0.6434565835843166,0.7143429499697712,0.6780927011206866,0.69280666782244,0.6419714943833245,0.7112436628668235
3_28,0.8667295446773212,0.9558405173803132,0.9046179181281832,0.9981515353125665,0.9378915841223437,0.9431901291233927,0.8518146262618266,1.0005738936889559
3_29,0.836761393807279,0.8769654123840069,0.852120702969897,0.9289537891703004,0.8816116876377911,0.8833920152759583,0.8319530174022812,0.9225615120203999
3_3,0.7270591058248751,0.7264591248504941,0.7250329143530532,0.7202380089904641,0.7691003509011638,0.7839386827916804,0.7071215439111979,0.7485766358493013
